rule,edge_ids,message,x_um,y_um
perpendicular_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,58.5
perpendicular_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),56.0,37.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,156.000,5.500,11.500 um; minimum=5.500 um)",57.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=163.000,5.000,11.500,5.500 um; minimum=5.000 um)",792.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w2->waksman_8x8_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=163.000,5.000,19.500,5.500 um; minimum=5.000 um)",624.0,389.5
crossing_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w5->waksman_8x8_s0_w4_5.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=152.000,16.000,19.500,5.500 um; minimum=5.500 um)",456.0,261.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,176.000,5.500,19.500 um; minimum=5.500 um)",57.0,293.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,113.000,19.500,5.500 um; minimum=5.500 um)",120.0,293.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=20.000,81.000,11.500,5.500 um; minimum=5.500 um)",273.0,378.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=168.000,5.000,19.500,5.500 um; minimum=5.000 um)",792.0,293.5
crossing_clearance,input:w3->waksman_8x8_s0_w2_3.add;input:w4->waksman_8x8_s0_w4_5.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=136.000,179.000,75.500,5.500 um; minimum=5.500 um)",456.0,133.5
crossing_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w5->waksman_8x8_s0_w4_5.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,156.000,5.500,19.500 um; minimum=5.500 um)",57.0,165.5
crossing_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w5->waksman_8x8_s0_w4_5.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=152.000,5.000,19.500,5.500 um; minimum=5.000 um)",792.0,165.5
crossing_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w6->waksman_8x8_s0_w6_7.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=89.000,68.000,9.500,5.500 um; minimum=5.500 um)",729.0,165.5
crossing_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,168.000,5.500,19.500 um; minimum=5.500 um)",57.0,37.5
crossing_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,105.000,19.500,5.500 um; minimum=5.500 um)",120.0,37.5
crossing_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=5.000,96.000,11.500,5.500 um; minimum=5.000 um)",288.0,122.5
crossing_footprint,input:w0->waksman_8x8_s0_w0_1.in,waveguide segment or bend enters the ownerless crossing footprint (side=10.000 um; crossing=I0/I1),792.0,421.5
crossing_footprint,input:w0->waksman_8x8_s0_w0_1.in,waveguide segment or bend enters the ownerless crossing footprint (side=10.000 um; crossing=I0/I2),624.0,389.5
crossing_footprint,input:w2->waksman_8x8_s0_w2_3.in,waveguide segment or bend enters the ownerless crossing footprint (side=10.000 um; crossing=I2/I3),792.0,293.5
crossing_footprint,input:w4->waksman_8x8_s0_w4_5.in,waveguide segment or bend enters the ownerless crossing footprint (side=10.000 um; crossing=I4/I5),792.0,165.5
crossing_footprint,input:w6->waksman_8x8_s0_w6_7.in,waveguide segment or bend enters the ownerless crossing footprint (side=10.000 um; crossing=I6/I7),288.0,122.5
